date,year,mass
2002-4-14,2002.29,0
2002-5-6,2002.35,14.61
2002-8-13,2002.62,-242.44
2002-9-16,2002.71,-265.41
2002-10-14,2002.79,-279.5
2002-11-13,2002.87,-246
2002-12-16,2002.96,-184.1
2003-1-14,2003.04,-164.07
2003-2-13,2003.12,-171.23
2003-3-12,2003.2,-81.75
2003-4-14,2003.29,-28.04
2003-5-10,2003.36,1.18
2003-7-14,2003.54,-194.15
2003-8-13,2003.62,-360.77
2003-9-16,2003.71,-417.66
2003-10-14,2003.79,-398.06
2003-11-13,2003.87,-355.9
2003-12-16,2003.96,-363.45
2004-1-7,2004.02,-385.72
2004-2-17,2004.13,-372.86
2004-3-16,2004.21,-344.13
2004-4-14,2004.29,-248.23
2004-5-13,2004.37,-269.57
2004-6-16,2004.46,-325.01
2004-7-14,2004.54,-408.7
2004-8-13,2004.62,-542.25
2004-9-16,2004.71,-536.92
2004-10-14,2004.79,-613.81
2004-11-13,2004.87,-561.17
2004-12-16,2004.96,-571.04
2005-1-14,2005.04,-563.76
2005-2-13,2005.12,-471.5
2005-3-12,2005.2,-422.56
2005-4-14,2005.29,-403.22
2005-5-13,2005.37,-429.58
2005-6-16,2005.46,-467.23
2005-7-14,2005.54,-585.59
2005-8-13,2005.62,-760.6
2005-9-16,2005.71,-844.55
2005-10-14,2005.79,-896.66
2005-11-13,2005.87,-883.47
2005-12-16,2005.96,-760.73
2006-1-14,2006.04,-757.43
2006-2-13,2006.12,-691.38
2006-3-12,2006.2,-661.19
2006-4-14,2006.29,-725
2006-5-13,2006.37,-714.66
2006-6-12,2006.45,-674.03
2006-7-14,2006.54,-778.16
2006-8-13,2006.62,-930.59
2006-9-16,2006.71,-1035.27
2006-10-14,2006.79,-1007.69
2006-11-13,2006.87,-984.12
2006-12-16,2006.96,-971.65
2007-1-14,2007.04,-934.98
2007-2-13,2007.12,-924.25
2007-3-12,2007.2,-935.46
2007-4-14,2007.29,-902.42
2007-5-13,2007.37,-883.09
2007-6-12,2007.45,-889.08
2007-7-14,2007.54,-1086.75
2007-8-13,2007.62,-1302.22
2007-9-16,2007.71,-1365.98
2007-10-14,2007.79,-1328.54
2007-11-13,2007.87,-1324.16
2007-12-16,2007.96,-1269.01
2008-1-14,2008.04,-1262.37
2008-2-13,2008.12,-1240.03
2008-3-16,2008.21,-1159.21
2008-4-14,2008.29,-1181.75
2008-5-13,2008.37,-1258.31
2008-6-16,2008.46,-1254.73
2008-7-14,2008.54,-1400.06
2008-8-13,2008.62,-1562.84
2008-9-16,2008.71,-1588.21
2008-10-14,2008.79,-1595.1
2008-11-13,2008.87,-1523.6
2008-12-16,2008.96,-1483.06
2009-1-14,2009.04,-1420.35
2009-2-13,2009.12,-1403.48
2009-3-12,2009.2,-1464.96
2009-4-14,2009.29,-1484.56
2009-5-13,2009.37,-1470.91
2009-6-16,2009.46,-1410.18
2009-7-14,2009.54,-1485.9
2009-8-13,2009.62,-1664.46
2009-9-16,2009.71,-1804.7
2009-10-14,2009.79,-1780.28
2009-11-13,2009.87,-1784.12
2009-12-16,2009.96,-1673.23
2010-1-14,2010.04,-1710.59
2010-2-13,2010.12,-1715.52
2010-3-12,2010.2,-1663.18
2010-4-14,2010.29,-1692.2
2010-5-13,2010.37,-1664.31
2010-6-12,2010.45,-1726.7
2010-7-14,2010.54,-1941.7
2010-8-13,2010.62,-2159.59
2010-9-16,2010.71,-2302.98
2010-10-14,2010.79,-2248.41
2010-11-13,2010.87,-2243.61
2010-12-16,2010.96,-2188.51
2011-2-17,2011.13,-2198.57
2011-3-12,2011.2,-2153.59
2011-4-14,2011.29,-2141.83
2011-5-13,2011.37,-2139.17
2011-7-18,2011.55,-2382.57
2011-8-13,2011.62,-2563.24
2011-9-16,2011.71,-2643.41
2011-10-14,2011.79,-2614.74
2011-10-29,2011.83,-2679.61
2012-1-0,2012,-2655.17
2012-1-14,2012.04,-2641.92
2012-2-13,2012.12,-2605.74
2012-3-16,2012.21,-2517.14
2012-4-7,2012.27,-2476.37
2012-6-16,2012.46,-2556.12
2012-7-14,2012.54,-2793.76
2012-8-13,2012.62,-3075.35
2012-9-12,2012.7,-3166.01
2012-11-20,2012.89,-3142.52
2012-12-16,2012.96,-3110.66
2013-1-14,2013.04,-3091.58
2013-2-13,2013.12,-3039.1
2013-4-18,2013.3,-3071.53
2013-5-13,2013.37,-3038.67
2013-6-16,2013.46,-3008.85
2013-7-14,2013.54,-3135.19
2013-10-14,2013.79,-3226.7
2013-11-13,2013.87,-3171.18
2013-12-16,2013.96,-3182.49
2014-1-7,2014.02,-3151.13
2014-3-16,2014.21,-3127.28
2014-4-14,2014.29,-3113.86
2014-5-13,2014.37,-3095.46
2014-6-12,2014.45,-3127.45
2014-8-13,2014.62,-3449.32
2014-9-16,2014.71,-3496.04
2014-10-14,2014.79,-3446
2014-11-17,2014.88,-3410.67
2015-1-22,2015.06,-3348.3
2015-2-13,2015.12,-3276.05
2015-3-12,2015.2,-3266.61
2015-4-14,2015.29,-3267.63
2015-4-25,2015.32,-3278.22
2015-7-11,2015.53,-3476.59
2015-8-13,2015.62,-3632.79
2015-9-12,2015.7,-3610.77
2015-12-19,2015.97,-3609.53
2016-1-14,2016.04,-3583.23
2016-2-13,2016.12,-3553.32
2016-3-16,2016.21,-3546.04
2016-5-17,2016.38,-3495.17
2016-6-16,2016.46,-3522.2
2016-7-14,2016.54,-3696.12
2016-8-20,2016.64,-3905.51
2016-11-28,2016.91,-3802.7
2016-12-23,2016.98,-3800.21
2017-1-22,2017.06,-3778.74
